"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1995:Q2","Top1",7646055,7842635,852258,361201,2047066,627970,1807917,2146223,196580,144004,12387,40189
"1995:Q2","Next9",9088753,9810152,2157630,497663,1330666,2903917,1006933,1913344,721399,600157,81078,40164
"1995:Q2","Next40",9546840,11440524,3997101,1028256,605778,3335284,563631,1910476,1893684,1444661,390562,58461
"1995:Q2","Bottom50",1006412,2707440,1318140,597199,64201,305420,58599,363881,1701027,1049480,579099,72449
"1995:Q3","Top1",7877610,8077423,817052,361839,2216959,639808,1853502,2188262,199813,148331,11338,40144
"1995:Q3","Next9",9256449,9987141,2170463,505204,1426854,2969360,1005119,1910142,730692,603839,83585,43268
"1995:Q3","Next40",9678301,11605715,4010338,1031481,643112,3427481,570375,1922927,1927414,1456526,407884,63003
"1995:Q3","Bottom50",1065578,2831844,1415284,606465,67170,319264,59198,364464,1766266,1081075,606792,78399
"1995:Q4","Top1",8102309,8308043,828466,360757,2363530,669314,1861383,2224593,205734,150278,10441,45014
"1995:Q4","Next9",9508244,10249769,2204252,513876,1549915,3008914,1025695,1947117,741525,607702,91301,42522
"1995:Q4","Next40",9877143,11856018,4036515,1046317,707870,3508693,585016,1971608,1978875,1481676,430952,66247
"1995:Q4","Bottom50",1064466,2854542,1420243,608304,70843,326704,62740,365708,1790077,1080269,635466,74342
"1996:Q1","Top1",8219963,8433166,839405,363139,2428647,683899,1867882,2250194,213204,153173,13587,46444
"1996:Q1","Next9",9724580,10489687,2261599,521228,1626961,3055264,1027088,1997546,765107,616600,92962,55545
"1996:Q1","Next40",10082734,12094931,4057575,1065364,760621,3591836,610623,2008913,2012197,1517355,424699,70143
"1996:Q1","Bottom50",1089833,2881820,1433971,612692,73204,331702,64552,365700,1791987,1091179,630959,69850
"1996:Q2","Top1",8324966,8545913,875859,355614,2495434,697201,1855533,2266272,220948,156496,13418,51033
"1996:Q2","Next9",9851681,10641803,2257830,534644,1696155,3098289,1035478,2019408,790122,633873,98527,57723
"1996:Q2","Next40",10281836,12346719,4153051,1076702,805116,3654097,623473,2034279,2064883,1552547,437525,74811
"1996:Q2","Bottom50",1060169,2862140,1405877,611871,75698,335624,67627,365442,1801971,1088746,647108,66117
"1996:Q3","Top1",8371392,8599634,905130,351398,2476940,720674,1874617,2270875,228241,160003,13260,54979
